cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,1.2082961298176542e-09,2.0237700915015683e-10,"[1.2082961298176542e-09, 5.564543617553319e-12, 3.3293620681565383e-13, 4.048057805200987e-17, 6.8332370469458e-14, 7.240787034220502e-17]",bi-weekly.,"['Errg Zipo', 'Ecxk Avfj']",bi-weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,3.2602293087435896e-10,1.0669021837663894e-10,"[2.7132683252939493e-11, 3.2602293087435896e-10, 7.360519138632782e-11, 6.799292948032369e-17]",25.,"['Qsihxg GmbH', 'Jzrcws SA']",25.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,7.859021025069524e-07,2.0667004843814542e-07,"[4.06590707768828e-08, 1.185886527865776e-10, 7.859021025069524e-07, 4.3181595994236377e-13]",28.,"['Mjlwxf NV', 'Skqn Esui']",28.,What was the total price in dollars of the good being sold based on the contract between {ENT1} and {ENT2}?
False,9.241995968523042e-08,2.2599410820665458e-08,"[9.241995968523042e-08, 3.007374793639883e-09, 3.990317765101281e-08, 1.6249583623118014e-10, 1.0345689582802464e-10, 6.205042425507334e-17]",childcare assistance program.,"['Clsvfw AG', 'Mjlwxf NV']",childcare assistance program.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
False,3.738015230680958e-09,9.573004298568093e-10,"[3.738015230680958e-09, 8.679285068424747e-11, 4.390497514161762e-12, 3.140547870183032e-15]",10.,"['Tapd Abuk', 'Okrb Qxpd']",10.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,4.283878070054925e-07,6.69374284844542e-08,"[6.796410190190727e-08, 8.906045172174526e-12, 7.290820031036205e-11, 1.295382273669432e-10, 1.2528079196272301e-07, 4.0775216092470146e-08, 6.749533376648742e-09, 4.283878070054925e-07, 5.474923899656536e-12, 7.108551215110476e-15]",023 Lmeguv Circle.,"['Nchdfd AG', 'Skqn Esui']",023 Lmeguv Circle.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,5.038899297815647e-10,1.4771837264348143e-10,"[4.769277681115902e-11, 5.038899297815647e-10, 3.929045630512995e-11, 3.2767607207386537e-16]",25.,"['Vkitze GmbH', 'Jzrcws SA']",25.,How many days of paid holiday leave were provided to the employee based on the contract between {ENT1} and {ENT2}?
False,1.3624324779470953e-08,2.788923204294006e-09,"[1.3624324779470953e-08, 3.189765396260924e-10, 7.582292541226388e-13, 5.562493282824932e-13, 2.2379057805733884e-16]",41 months.,"['Xqtb Laur', 'Qsihxg GmbH']",41 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,2.299839678698845e-07,5.756443008028689e-08,"[2.299839678698845e-07, 9.931132999296821e-11, 4.818152127272768e-11, 1.2625959999734704e-10]",59.,"['Vkitze GmbH', 'Qpubwe PLC']",59.,What was the quantity of the good being sold based on the contract between {ENT1} and {ENT2}?
False,0.45445501804351807,0.036950530974957735,"[0.025714846327900887, 6.793962711526547e-06, 0.45445501804351807, 0.0001485661487095058, 5.672792440236663e-07, 3.905200628651073e-06, 1.7842471207105137e-12, 2.3166678297936727e-10, 1.9306726356527193e-12, 5.12452469347835e-10, 1.1806506883260681e-09, 2.7203783247387037e-05, 5.679593080565315e-15]",I am not the Wnzatj SAS.,"['Wnzatj SAS', 'Jzrcws SA']", I am not the Wnzatj SAS.,What was the address of {ENT1} in the contract with {ENT2}?
False,4.17417453490998e-07,1.608044282081937e-07,"[4.17417453490998e-07, 6.499577409613266e-08, 5.703745039210145e-14]",2.,"['Wnzatj SAS', 'Jzrcws SA']",2.,How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?
False,2.1034205488490443e-08,5.263826844279961e-09,"[2.1034205488490443e-08, 1.3749187552369868e-11, 7.352674892546762e-12, 2.6184485008427346e-17]",18.,"['Xqtb Laur', 'Yrnw Lvgj']",18.,At what hour did the workday finish based on the contract between {ENT1} and {ENT2}?
False,5.290253790590782e-10,9.76136693151535e-11,"[4.168087403000342e-11, 2.198081126836282e-12, 6.722976342299347e-12, 5.290253790590782e-10, 6.054545319961191e-12, 1.6001274260290366e-16]",The State of Ohio.,"['Errg Zipo', 'Mnmi Haem']",The State of Ohio.,Which jurisdiction's laws govern the contract between {ENT1} and {ENT2}?
False,4.233249484286716e-08,5.660613117781744e-09,"[2.7371823557720276e-11, 1.0084660190257111e-10, 1.1947778322252134e-09, 1.127761706243291e-08, 4.233249484286716e-08, 8.347673680769718e-13, 1.5205982029087295e-09, 1.5655900187372396e-11, 1.3593409731171846e-10, 4.7055965781369444e-17]",628 Xsaesj Place.,"['Tapd Abuk', 'Wnzatj SAS']",628 Xsaesj Place.,What was the address of {ENT1} based on the contract between {ENT2} and {ENT1}?
False,3.801400527692067e-09,5.699843085606267e-10,"[3.801400527692067e-09, 2.0973187989385862e-15, 1.0176079597024046e-11, 5.661688023787803e-13, 2.5625768174109e-09, 4.446870389279711e-13, 3.8008485248042234e-10, 3.478093193228643e-13, 1.0316601739557285e-11, 7.096506715598139e-11, 2.905138369452276e-12, 2.5855802687681922e-14]",01-02-1998.,"['Avrbci Ltd', 'Errg Zipo']",01-02-1998.,What was the effective date of the contract between {ENT1} and {ENT2}?
False,3.2430552465712026e-08,7.2792377835182335e-09,"[3.2430552465712026e-08, 5.244434886364502e-10, 1.0718965270939407e-08, 4.655399126634631e-14, 1.4174605499767123e-12, 1.4612802765376744e-15]",Research Scientist.,"['Cqndue LLC', 'Skqn Esui']",Research Scientist.,What was the job position based on the contract between {ENT1} and {ENT2}?
False,3.780763258021125e-09,1.2603801169020006e-09,"[3.780763258021125e-09, 3.020305631030312e-13, 7.506212177429278e-14]",8.,"['Xqtb Laur', 'Cqndue LLC']",8.,What was the duration of the cooling-off period in days based on the contract between {ENT1} and {ENT2}?
False,1.1727003368378064e-08,3.9377057259450285e-09,"[1.1727003368378064e-08, 8.611371338229645e-11, 9.607472527720882e-17]",9.,"['Clsvfw AG', 'Skqn Esui']",9.,At what hour did the workday start based on the contract between {ENT1} and {ENT2}?
False,6.851857324363664e-05,1.4404300970586684e-05,"[6.851857324363664e-05, 1.790579699445516e-05, 1.1877946404226236e-09, 4.686297872110931e-14, 2.4774371443214704e-10, 2.1047027027771572e-16]",Nike shoes.,"['Ffsi Mneb', 'Jzrcws SA']",Nike shoes.,What was the good that the seller was selling to the customer based on the contract between {ENT1} and {ENT2}?
False,2.6152355836472907e-09,8.59210649058784e-10,"[8.167669318659421e-10, 2.6152355836472907e-09, 4.839731913841572e-12, 3.4880806180020247e-16]",18.,"['Tapd Abuk', 'Yrnw Lvgj']",18.,For how many months did the non-compete clause cover based on the contract between {ENT1} and {ENT2}?
False,2.830287781918628e-09,8.316603525930562e-10,"[2.830287781918628e-09, 4.846819057213736e-10, 1.1663545129714237e-11, 8.177602509268442e-15]",10.,"['Vkitze GmbH', 'Jzrcws SA']",10.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,1.0179359577477953e-08,3.393308933298856e-09,"[1.0179359577477953e-08, 5.657868921635223e-13, 1.4355264515346442e-15]",Customer.,"['Errg Zipo', 'Skqn Esui']",Customer.,Who would be responsible for the costs of the shipment based on the contract between {ENT1} and {ENT2}?
False,5.565726951317629e-06,1.855355337553044e-06,"[5.565726951317629e-06, 2.5837132433537136e-10, 8.069001716792812e-11]",1%.,"['Xqtb Laur', 'Wnzatj SAS']",1%.,What was the late payment interest rate based on the contract between {ENT1} and {ENT2}?
False,1.447502917528709e-08,3.619236113445773e-09,"[1.447502917528709e-08, 1.8363147374217403e-12, 7.892638094735699e-14, 3.737763166842135e-17]",81.,"['Qsihxg GmbH', 'Ajoo Gufx']",81.,What was the hourly basic pay in dollars based on the contract between {ENT1} and {ENT2}?
False,9.984700227505527e-06,1.433320296259991e-06,"[1.694332354418293e-07, 7.467400309213446e-11, 1.9206972817764623e-11, 6.811375783399853e-07, 3.071243881436203e-08, 9.984700227505527e-06, 2.0338050035206834e-06, 3.0133434267796966e-13, 4.072800696381469e-16]",537 Sardyj Drive.,"['Ajoo Gufx', 'Errg Zipo']",537 Sardyj Drive.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.899594280985184e-06,2.9610257480428047e-07,"[1.899594280985184e-06, 6.756998606471942e-12, 1.0345573009384879e-10, 1.4231161138411608e-08, 1.033340140565997e-06, 1.1442994107824234e-08, 4.436926381856665e-10, 1.7239868421725646e-09, 1.3837136991767807e-10, 9.076664116494659e-13]",226 Nglqwy Drive.,"['Qsihxg GmbH', 'Jzrcws SA']",226 Nglqwy Drive.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,9.094357267258601e-08,7.703703962142523e-09,"[4.517904661494043e-10, 4.5402619164303104e-11, 9.094357267258601e-08, 2.4302380854240857e-12, 1.4821177271584496e-11, 2.1258762437047218e-13, 5.76976688648756e-10, 3.5114669012141844e-14, 3.9111717337059204e-11, 3.691257854931962e-10, 9.680121287880539e-13, 4.665523647925691e-16]",25-02-1971.,"['Dmimyu GmbH', 'Mjlwxf NV']",25-02-1971.,What was the start date based on the contract between {ENT1} and {ENT2}?
False,2.6813033571215783e-08,4.469719574928791e-09,"[2.6813033571215783e-08, 3.1703316187570163e-12, 9.631439526133767e-13, 1.081154442062165e-15, 1.1481605596830313e-12, 1.1610714712400163e-15]",bi-weekly.,"['Xqtb Laur', 'Skqn Esui']",bi-weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,2.268315757447681e-09,7.566992133772744e-10,"[2.268315757447681e-09, 1.7663776257642594e-12, 1.5505058378168478e-14]",5.,"['Txctcl AG', 'Dmimyu GmbH']",5.,What was the duration of the general warranty period in years based on the contract between {ENT1} and {ENT2}?
False,1.566212517900567e-06,5.220729213287346e-07,"[1.566212517900567e-06, 6.233165893154702e-12, 1.2919743569525955e-14]",5.,"['Txctcl AG', 'Jzrcws SA']",5.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,3.02756458792075e-10,1.0649597693973574e-10,"[3.02756458792075e-10, 1.6729940349735628e-11, 1.5316773965422161e-15]",5.,"['Errg Zipo', 'Mjlwxf NV']",5.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,2.2443582992082156e-08,5.62063094730966e-09,"[2.2443582992082156e-08, 3.6723509649894126e-11, 2.216086905995618e-12, 1.2006005930642431e-15]",15.,"['Avrbci Ltd', 'Xqtb Laur']",15.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
